a bad advice|a bad suggestion
abused physically during her childhood|abused physically during her childhood development
abused physically during his childhood|abused physically during his childhood development
abused|exploited
abusing|exploiting
accept|acknowledge
accept|agree
accept|ascribe
accept|embrace
accept|validate (E.g. Have you checked if they will validate the file? We use validate)
accepted to use|agreed to use
accepted|acknowledged
accepted|agreed
accepted|ascribed
accepted|embraced
accepted|undoubted
and about these changes|and the changes
bad|counterproductive
bad|poor
bad|terrible
better person|right person
determining if|communicate if
done your work|done your due diligence (PHD. It means responsibilities)
finishes|completes
for a renew like|for a renewable energy like
I tell the|I will tell the
I will tell the|I will report it to the
in history|of history
looking for|searching for
me a research paper|me an assignment
my home-work|my assignment (This refers to my homework)
my home work|my home-work
somebody|someone
taking somebody's things|stealing
the people’s items|people’s items
theif|thief
to do|to write
when they do it|when they do (E.g. But when they do,)
Why are stealing|Why are you stealing
why did you steal them.|why did you steal them?
will come as soon as|will arrive as soon as
You gave|You supplied
You must not|You should not
